az;el;distance
92.00;13.00;83
94.00;13.00;84
96.00;13.00;83
98.00;13.00;84
100.00;13.00;84
102.00;13.00;85
104.00;13.00;85
106.00;13.00;86
108.00;13.00;86
110.00;13.00;86
112.00;13.00;87
114.00;13.00;88
116.00;13.00;87
118.00;13.00;88
120.00;13.00;89
122.00;13.00;90
124.00;13.00;92
126.00;13.00;94
128.00;13.00;97
130.00;13.00;101
132.00;13.00;1
134.00;13.00;1
136.00;13.00;80
138.00;13.00;83
140.00;13.00;91
142.00;13.00;89
144.00;13.00;84
146.00;13.00;82
148.00;13.00;94
150.00;13.00;103
152.00;13.00;98
154.00;13.00;111
156.00;13.00;130
158.00;13.00;122
160.00;13.00;137
162.00;13.00;136
164.00;13.00;149
166.00;13.00;144
168.00;13.00;142
170.00;13.00;141
172.00;13.00;135
174.00;13.00;133
176.00;13.00;131
178.00;13.00;129
180.00;13.00;123
0.00;14.00;29
2.00;14.00;25
4.00;14.00;28
6.00;14.00;30
8.00;14.00;35
10.00;14.00;33
12.00;14.00;35
14.00;14.00;38
16.00;14.00;39
18.00;14.00;45
20.00;14.00;40
22.00;14.00;50
24.00;14.00;43
26.00;14.00;49
28.00;14.00;38
30.00;14.00;35
32.00;14.00;38
34.00;14.00;39
36.00;14.00;35
38.00;14.00;39
40.00;14.00;40
42.00;14.00;40
44.00;14.00;44
46.00;14.00;44
48.00;14.00;50
50.00;14.00;51
52.00;14.00;54
54.00;14.00;61
56.00;14.00;69
58.00;14.00;91
60.00;14.00;89
62.00;14.00;89
64.00;14.00;88
66.00;14.00;86
68.00;14.00;86
70.00;14.00;86
72.00;14.00;84
74.00;14.00;85
76.00;14.00;81
78.00;14.00;79
80.00;14.00;78
82.00;14.00;75
84.00;14.00;79
86.00;14.00;85
88.00;14.00;84
90.00;14.00;85
92.00;14.00;84
94.00;14.00;84
96.00;14.00;84
98.00;14.00;85
100.00;14.00;85
102.00;14.00;85
104.00;14.00;86
106.00;14.00;86
108.00;14.00;87
110.00;14.00;86
112.00;14.00;88
114.00;14.00;88
116.00;14.00;88
118.00;14.00;90
120.00;14.00;89
122.00;14.00;92
124.00;14.00;92
126.00;14.00;94
128.00;14.00;97
130.00;14.00;101
132.00;14.00;1
134.00;14.00;1
136.00;14.00;84
138.00;14.00;79
140.00;14.00;83
142.00;14.00;90
144.00;14.00;88
146.00;14.00;86
148.00;14.00;94
150.00;14.00;107
152.00;14.00;101
154.00;14.00;108
156.00;14.00;125
158.00;14.00;131
160.00;14.00;136
162.00;14.00;141
164.00;14.00;152
166.00;14.00;145
168.00;14.00;146
170.00;14.00;143
172.00;14.00;154
174.00;14.00;152
176.00;14.00;151
178.00;14.00;150
180.00;14.00;150
0.00;15.00;25
2.00;15.00;27
4.00;15.00;32
6.00;15.00;27
8.00;15.00;30
10.00;15.00;35
12.00;15.00;39
14.00;15.00;35
16.00;15.00;39
18.00;15.00;45
20.00;15.00;47
22.00;15.00;43
24.00;15.00;48
26.00;15.00;45
28.00;15.00;39
30.00;15.00;39
32.00;15.00;34
34.00;15.00;38
36.00;15.00;33
38.00;15.00;37
40.00;15.00;39
42.00;15.00;43
44.00;15.00;43
46.00;15.00;48
48.00;15.00;50
50.00;15.00;52
52.00;15.00;68
54.00;15.00;81
56.00;15.00;88
58.00;15.00;89
